ST.,NNP,O
LOUIS,NNP,O
",",",",O
MO.,NNP,O
",",",",O
January,NNP,O
22,CD,O
",",",",O
2020,CD,O
The,DT,O
St.,NNP,B_new_team_city
Louis,NNP,I_new_team_city
Cardinals,NNP,B_new_team
announced,VBD,O
today,NN,O
that,IN,O
they,PRP,O
have,VBP,O
agreed,VBN,O
to,TO,O
terms,NNS,O
with,IN,O
free-agent,JJ,O
catcher,NN,B_player_position
Matt,NNP,B_player_name
Wieters,NNP,I_player_name
(,(,O
pronounced,JJ,O
WEE-ters,NNS,O
),),O
on,IN,O
a,DT,O
one-year,JJ,O
contract,NN,O
for,IN,O
the,DT,O
upcoming,JJ,O
2020,CD,O
season,NN,O
.,.,O
Wieters,NNS,O
",",",",O
33,CD,B_player_age
",",",",O
returns,NNS,O
to,TO,O
the,DT,O
Cardinals,NNS,O
for,IN,O
a,DT,O
second-straight,JJ,O
season,NN,O
.,.,O
He,PRP,O
signed,VBD,O
with,IN,O
St.,NNP,O
Louis,NNP,O
on,IN,O
February,NNP,O
27,CD,O
last,JJ,O
year,NN,O
as,IN,O
a,DT,O
non-roster,JJ,O
invitee,NN,O
",",",",O
and,CC,O
was,VBD,O
a,DT,O
key,JJ,O
member,NN,O
of,IN,O
the,DT,O
Redbirds,NNP,O
',POS,O
N.L,NNP,O
.,.,O
Central,NNP,O
Division-winning,NNP,O
club,NN,O
",",",",O
appearing,VBG,O
in,IN,O
67,CD,O
games,NNS,O
(,(,O
54,CD,O
starts,NNS,O
),),O
.,.,O
FLUSHING,NN,O
",",",",O
N.Y.,NNP,O
",",",",O
January,NNP,O
28,CD,O
",",",",O
2019,CD,O
The,DT,O
New,NNP,B_new_team_city
York,NNP,I_new_team_city
Mets,NNP,B_new_team
announced,VBD,O
today,NN,O
that,IN,O
the,DT,O
club,NN,O
has,VBZ,O
signed,VBN,O
All-Star,NNP,O
infielder,NN,B_player_position
Eduardo,NNP,B_player_name
Nunez,NNP,I_player_name
",",",",O
catcher,NN,B_player_position
Rene,NNP,B_player_name
Rivera,NNP,I_player_name
and,CC,O
right-handed,JJ,O
pitcher,NN,B_player_position
Erasmo,NNP,B_player_name
Ramirez,NNP,I_player_name
to,TO,O
minor,VB,O
league,NN,O
contracts,NNS,O
and,CC,O
invited,VBD,O
all,DT,O
three,CD,O
to,TO,O
major,JJ,O
league,NN,O
spring,NN,O
training,NN,O
.,.,O
Nunez,NNP,O
",",",",O
32,CD,B_player_age
",",",",O
is,VBZ,O
a,DT,O
10-year,JJ,O
major,JJ,O
league,NN,O
veteran,NN,O
whose,WP$,O
major,JJ,O
league,NN,O
career,NN,O
began,VBD,O
in,IN,O
New,NNP,O
York,NNP,O
",",",",O
playing,VBG,O
his,PRP$,O
first,JJ,O
four,CD,O
seasons,NNS,O
with,IN,O
the,DT,O
Yankees,NNS,O
(,(,O
2010-2013,JJ,O
),),O
.,.,O
The,DT,O
Dominican,JJ,O
infielder,NN,O
is,VBZ,O
a,DT,O
lifetime,JJ,O
.276/.310/.404,NN,O
hitter,NN,O
in,IN,O
856,CD,O
major,JJ,O
league,NN,O
games,NNS,O
with,IN,O
the,DT,O
Yankees,NNS,O
",",",",O
Minnesota,NNP,O
(,(,O
2014-2016,JJ,O
),),O
",",",",O
San,NNP,O
Francisco,NNP,O
(,(,O
2016-2017,JJ,O
),),O
and,CC,O
Boston,NNP,O
(,(,O
2017-2019,JJ,O
),),O
.,.,O
He,PRP,O
was,VBD,O
named,VBN,O
an,DT,O
AL,NNP,O
All-Star,NNP,O
in,IN,O
2016,CD,O
when,WRB,O
he,PRP,O
hit,VBD,O
16,CD,O
homers,NNS,O
",",",",O
drove,VB,O
in,IN,O
67,CD,O
runs,NNS,O
and,CC,O
stole,JJ,O
40,CD,O
bases,NNS,O
.,.,O
ATLANTA,NNP,O
The,DT,O
Atlanta,NNP,B_new_team_city
Braves,NNP,B_new_team
today,NN,O
signed,VBD,O
infielder,NN,B_player_position
Adeiny,NNP,B_player_name
Hechavarria,NNP,I_player_name
to,TO,O
a,DT,O
one-year,JJ,O
contract,NN,O
worth,IN,O
$,$,B_contract_amount
1,CD,I_contract_amount
million,CD,I_contract_amount
.,.,O
The,DT,O
club,NN,O
's,POS,O
40-man,JJ,O
roster,NN,O
now,RB,O
stands,VBZ,O
at,IN,O
39,CD,O
.,.,O
Hechavarria,NNP,O
",",",",O
30,CD,B_player_age
",",",",O
split,NN,O
last,JJ,O
season,NN,O
between,IN,O
Atlanta,NNP,O
and,CC,O
New,NNP,O
York,NNP,O
(,(,O
NL,NNP,O
),),O
",",",",O
hitting,VBG,O
0.328,NN,O
(,(,O
20-for-61,JJ,O
),),O
with,IN,O
four,CD,O
home,NN,O
runs,NNS,O
and,CC,O
a,DT,O
1.039,CD,O
OPS,NNP,O
in,IN,O
24,CD,O
games,NNS,O
with,IN,O
the,DT,O
Braves,NNS,O
.,.,O
He,PRP,O
joined,VBD,O
the,DT,O
team,NN,O
on,IN,O
August,NNP,O
16,CD,O
after,IN,O
beginning,VBG,O
the,DT,O
year,NN,O
with,IN,O
the,DT,O
Mets,NNPS,O
.,.,O
He,PRP,O
compiled,VBD,O
a,DT,O
0.204,NN,O
(,(,O
29-for-142,JJ,O
),),O
average,NN,O
with,IN,O
five,CD,O
home,NN,O
runs,NNS,O
and,CC,O
a,DT,O
0.611,JJ,O
OPS,NNP,O
in,IN,O
60,CD,O
games,NNS,O
for,IN,O
New,NNP,O
York,NNP,O
.,.,O
Overall,NNP,O
",",",",O
he,PRP,O
compiled,VBD,O
a,DT,O
.241/.299/.443,JJ,O
line,NN,O
with,IN,O
nine,CD,O
home,NN,O
runs,NNS,O
in,IN,O
84,CD,O
games,NNS,O
during,IN,O
the,DT,O
2019,CD,O
season,NN,O
.,.,O
The,DT,O
Washington,NNP,B_new_team_city
Nationals,NNP,B_new_team
agreed,VBD,O
to,TO,O
terms,NNS,O
on,IN,O
a,DT,O
three-year,JJ,O
contract,NN,O
with,IN,O
right-handed,JJ,O
pitcher,NN,B_player_position
Will,NNP,B_player_name
Harris,NNP,I_player_name
on,IN,O
Friday,NNP,O
.,.,O
Nationals,NNP,O
President,NNP,O
of,IN,O
Baseball,NNP,O
Operations,NNP,O
and,CC,O
General,NNP,O
Manager,NNP,O
Mike,NNP,O
Rizzo,NNP,O
made,VBD,O
the,DT,O
announcement,NN,O
.,.,O
Harris,NNP,O
",",",",O
35,CD,B_player_age
",",",",O
joins,VBZ,O
the,DT,O
Nationals,NNS,O
after,IN,O
going,VBG,O
1-Apr,JJ,O
with,IN,O
four,CD,O
saves,NNS,O
and,CC,O
a,DT,O
1.5,CD,O
ERA,NN,O
in,IN,O
68,CD,O
games,NNS,O
for,IN,O
the,DT,O
Houston,NNP,O
Astros,NNP,O
in,IN,O
2019,CD,O
.,.,O
He,PRP,O
struck,VBD,O
out,RP,O
62,CD,O
batters,NNS,O
",",",",O
walked,VBD,O
14,CD,O
and,CC,O
posted,VBD,O
a,DT,O
0.196,JJ,O
opponents,NNS,O
',POS,O
batting,NN,O
average,NN,O
in,IN,O
his,PRP$,O
eighth,JJ,O
Major,NNP,O
League,NNP,O
season,NN,O
.,.,O
DETROIT,NNP,O
The,DT,O
Detroit,NNP,B_new_team_city
Tigers,NNP,B_new_team
today,NN,O
claimed,VBD,O
the,DT,O
contract,NN,O
of,IN,O
right-handed,JJ,O
pitcher,NN,B_player_position
David,NNP,B_player_name
McKay,NNP,I_player_name
from,IN,O
the,DT,O
Seattle,NNP,O
Mariners,NNP,O
.,.,O
McKay,NNP,O
",",",",O
24,CD,B_player_age
",",",",O
is,VBZ,O
currently,RB,O
ranked,VBN,O
as,IN,O
the,DT,O
28th-best,JJ,O
prospect,NN,O
in,IN,O
the,DT,O
Mariners,NNP,O
organization,NN,O
by,IN,O
MLB,NNP,O
Pipeline,NNP,O
.,.,O
McKay,NNP,O
",",",",O
who,WP,O
stands,VBZ,O
at,IN,O
3-Jun,JJ,O
",",",",O
205,CD,O
pounds,NNS,O
",",",",O
has,VBZ,O
spent,VBN,O
most,JJS,O
of,IN,O
the,DT,O
2019,CD,O
season,NN,O
with,IN,O
Triple,NNP,O
A,NNP,O
Tacoma,NNP,O
",",",",O
posting,VBG,O
a,DT,O
1-Mar,JJ,O
record,NN,O
with,IN,O
a,DT,O
5.15,CD,O
ERA,NNP,O
(,(,O
43.2IP/25ER,CD,O
),),O
and,CC,O
71,CD,O
strikeouts,NNS,O
in,IN,O
30,CD,O
appearances,NNS,O
.,.,O
He,PRP,O
also,RB,O
made,VBD,O
his,PRP$,O
Major,JJ,O
League,NNP,O
debut,NN,O
with,IN,O
Seattle,NNP,O
this,DT,O
season,NN,O
",",",",O
pitching,VBG,O
in,IN,O
seven,CD,O
games,NNS,O
and,CC,O
compiling,VBG,O
a,DT,O
5.14,CD,O
ERA,NNP,O
(,(,O
7.0IP/4ER,CD,O
),),O
with,IN,O
five,CD,O
strikeouts,NNS,O
.,.,O
In,IN,O
four,CD,O
Minor,NNP,O
League,NNP,O
seasons,NNS,O
",",",",O
McKay,NNP,O
has,VBZ,O
an,DT,O
18-11,JJ,O
record,NN,O
with,IN,O
two,CD,O
saves,NNS,O
",",",",O
a,DT,O
4.81,CD,O
ERA,NNP,O
(,(,O
236.0IP/126ER,CD,O
),),O
and,CC,O
276,CD,O
strikeouts,NNS,O
.,.,O
Originally,RB,O
drafted,VBN,O
by,IN,O
the,DT,O
Kansas,NNP,O
City,NNP,O
Royals,NNP,O
in,IN,O
the,DT,O
14th,CD,O
round,NN,O
of,IN,O
the,DT,O
2016,CD,O
MLB,NNP,O
Draft,NNP,O
",",",",O
McKay,NNP,O
played,VBD,O
collegiately,RB,O
at,IN,O
Florida,NNP,O
Atlantic,NNP,O
University,NNP,O
.,.,O
DETROIT,NNP,O
The,DT,O
Detroit,NNP,B_new_team_city
Tigers,NNP,B_new_team
have,VBP,O
agreed,VBN,O
to,TO,O
terms,NNS,O
with,IN,O
outfielder,NN,B_player_position
Cameron,NNP,B_player_name
Maybin,NNP,I_player_name
on,IN,O
a,DT,O
one-year,JJ,O
Major,NNP,O
League,NNP,O
contract,NN,O
.,.,O
Cameron,NNP,O
is,VBZ,O
a,DT,O
dynamic,JJ,O
outfielder,NN,O
that,IN,O
we,PRP,O
can,MD,O
rely,VB,O
on,IN,O
for,IN,O
solid,JJ,O
play,NN,O
in,IN,O
both,CC,O
the,DT,O
field,NN,O
and,CC,O
at,IN,O
the,DT,O
plate,NN,O
",",",",O
said,VBD,O
Al,NNP,O
Avila,NNP,O
",",",",O
Detroit,NNP,O
Tigers,NNP,O
Executive,NNP,O
Vice,NNP,O
President,NNP,O
of,IN,O
Baseball,NNP,O
Operations,NNP,O
and,CC,O
General,NNP,O
Manager,NNP,O
.,.,O
His,PRP$,O
veteran,NN,O
presence,NN,O
will,MD,O
be,VB,O
an,DT,O
asset,NN,O
to,TO,O
our,PRP$,O
lineup,NN,O
and,CC,O
we,PRP,O
're,VBP,O
excited,VBN,O
to,TO,O
have,VB,O
him,PRP,O
back,RB,O
with,IN,O
the,DT,O
organization,NN,O
.,.,O
Maybin,NNP,O
",",",",O
32,CD,B_player_age
",",",",O
began,VBD,O
the,DT,O
2019,CD,O
regular,JJ,O
season,NN,O
in,IN,O
the,DT,O
Cleveland,NNP,O
Indians,NNPS,O
organization,NN,O
before,IN,O
being,VBG,O
traded,VBN,O
to,TO,O
the,DT,O
New,NNP,O
York,NNP,O
Yankees,NNP,O
on,IN,O
April,NNP,O
25,CD,O
.,.,O
In,IN,O
82,CD,O
games,NNS,O
at,IN,O
the,DT,O
Major,NNP,O
League,NNP,O
level,NN,O
with,IN,O
the,DT,O
Yankees,NNS,O
",",",",O
Maybin,NNP,O
hit,VBD,O
.285/.364/.494,NNS,O
with,IN,O
17,CD,O
doubles,NNS,O
",",",",O
a,DT,O
career-high,JJ,O
11,CD,O
home,NN,O
runs,NNS,O
and,CC,O
32,CD,O
RBI,NNP,O
.,.,O
DETROIT,NNP,O
The,DT,O
Detroit,NNP,B_new_team_city
Tigers,NNP,B_new_team
today,NN,O
acquired,VBD,O
righthanded,VBD,O
pitcher,RB,B_player_position
Dario,NNP,B_player_name
Agrazal,NNP,I_player_name
from,IN,O
the,DT,O
Pittsburgh,NNP,O
Pirates,NNP,O
in,IN,O
exchange,NN,O
for,IN,O
cash,NN,O
considerations,NNS,O
.,.,O
Agrazal,NNP,O
",",",",O
24,CD,B_player_age
",",",",O
saw,VBD,O
time,NN,O
at,IN,O
three,CD,O
levels,NNS,O
of,IN,O
the,DT,O
Pirates,NNPS,O
organization,NN,O
in,IN,O
2019,CD,O
",",",",O
including,VBG,O
his,PRP$,O
first,JJ,O
Major,NNP,O
League,NNP,O
action,NN,O
.,.,O
In,IN,O
15,CD,O
appearances,NNS,O
",",",",O
including,VBG,O
14,CD,O
starts,NNS,O
",",",",O
with,IN,O
Pittsburgh,NNP,O
",",",",O
Agrazal,NNP,O
had,VBD,O
a,DT,O
5-Apr,JJ,O
record,NN,O
with,IN,O
a,DT,O
4.91,CD,O
ERA,NNP,O
(,(,O
73.1IP/40ER,CD,O
),),O
and,CC,O
41,CD,O
strikeouts,NNS,O
.,.,O
The,DT,O
Miami,NNP,B_new_team_city
Marlins,NNP,B_new_team
today,NN,O
announced,VBD,O
that,IN,O
the,DT,O
club,NN,O
has,VBZ,O
signed,VBN,O
outfielder,RP,B_player_position
Corey,NNP,B_player_name
Dickerson,NNP,I_player_name
to,TO,O
a,DT,O
two-year,JJ,O
contract,NN,O
through,IN,O
the,DT,O
2021,CD,O
season,NN,O
.,.,O
Dickerson,NNP,O
",",",",O
30,CD,B_player_age
",",",",O
was,VBD,O
a,DT,O
2017,CD,O
American,NNP,O
League,NNP,O
All-Star,NNP,O
with,IN,O
Tampa,NNP,O
Bay,NNP,O
and,CC,O
won,VBD,O
the,DT,O
National,NNP,O
League,NNP,O
Rawlings,NNP,O
Gold,NNP,O
Glove,NNP,O
Award,NNP,O
for,IN,O
left,JJ,O
field,NN,O
in,IN,O
2018,CD,O
with,IN,O
Pittsburgh,NNP,O
.,.,O
For,IN,O
more,JJR,O
details,NNS,O
on,IN,O
the,DT,O
signing,NN,O
",",",",O
please,VB,O
visit,VB,O
the,DT,O
Miami,NNP,O
Marlins,NNP,O
Beyond,NNP,O
the,DT,O
Bases,NNP,O
blog,NN,O
.,.,O
ATLANTA,NNP,O
--,:,O
The,DT,O
Atlanta,NNP,B_new_team_city
Braves,NNP,B_new_team
tonight,VBD,O
signed,VBN,O
RHP,NNP,B_player_position
Chris,NNP,B_player_name
Martin,NNP,I_player_name
to,TO,O
a,DT,O
two-year,JJ,O
contract,NN,O
worth,IN,O
$,$,B_contract_amount
14,CD,I_contract_amount
