ATLANTA,NNP,B_new_team_city
The,DT,O
Atlanta,NNP,B_new_team_city
Braves,NNP,B_new_team
today,NN,O
signed,VBD,O
OF,NNP,B_player_position
Marcell,NNP,B_player_name
Ozuna,NNP,I_player_name
to,TO,O
a,DT,O
one-year,JJ,O
contract,NN,O
worth,IN,O
$,$,B_contract_amount
18,CD,I_contract_amount
million,CD,I_contract_amount
.,.,O
The,DT,O
Braves,NNPS,B_new_team
now,RB,O
have,VBP,O
40,CD,O
players,NNS,O
on,IN,O
the,DT,O
club,NN,O
's,POS,O
40-man,JJ,O
roster,NN,O
.,.,O
Ozuna,NNP,I_player_name
",",",",O
29,CD,B_player_age
",",",",O
spent,VBD,O
2019,CD,O
with,IN,O
St.,NNP,O
Louis,NNP,O
",",",",O
his,PRP$,O
second,JJ,O
season,NN,O
with,IN,O
the,DT,O
Cardinals,NNS,O
.,.,O
The,DT,O
6-foot-1,JJ,O
",",",",O
225-pound,JJ,O
native,NN,O
of,IN,B_player_position
Santo,NNP,O
Domingo,NNP,O
",",",",O
Dominican,NNP,O
Republic,NNP,O
",",",",O
batted,VBD,O
.241,NNP,O
(,(,O
117-for-485,JJ,O
),),O
with,IN,O
29,CD,B_player_age
home,NN,O
runs,NNS,O
and,CC,O
a,DT,O
.800,JJ,O
OPS,NNP,O
in,IN,O
130,CD,O
games,NNS,O
",",",",O
while,IN,O
his,PRP$,O
hard-hit,JJ,O
percentage,NN,O
of,IN,B_player_position
49.2,CD,O
%,NN,O
ranked,VBD,O
15th,CD,O
highest,JJS,O
among,IN,O
all,DT,O
qualifying,VBG,O
major,JJ,O
leaguers,NNS,O
",",",",O
according,VBG,O
to,TO,O
Statcast,NNP,O
.,.,O
