Hello,NNP,O
Peaceworkers,NNP,O
",",",",O
For,IN,O
tomorrow,NN,O
's,POS,O
Prac,NNP,B-EVT
we,PRP,O
'll,MD,O
gather,VB,O
at,IN,O
3pm,CD,B-TIME
in,IN,O
PUP,NNP,B-LOC
107,CD,I-LOC
and,CC,O
begin,VB,O
with,IN,O
some,DT,O
short,JJ,O
check-ins-,NN,O
we,PRP,O
'll,MD,O
stick,VB,O
to,TO,O
1-2,JJ,O
sentences,NNS,O
",",",",O
a,DT,O
``,``,O
tweet,NN,O
'','',O
",",",",O
or,CC,O
a,DT,O
haiku-,JJ,O
you,PRP,O
decide,VBP,O
!,.,O
We,PRP,O
'll,MD,O
then,RB,O
participate,VB,O
in,IN,O
a,DT,O
story,NN,O
circle,NN,O
",",",",O
allowing,VBG,O
the,DT,O
2nd,CD,O
year,NN,O
fellows,NNS,O
to,TO,O
further,RBR,O
workshop,VB,O
the,DT,O
ideas,NNS,O
that,IN,O
they,PRP,O
shared,VBD,O
at,IN,O
retreat,NN,O
.,.,O
Come,NNP,O
with,IN,O
something,NN,O
to,TO,O
write,VB,O
on,IN,O
and,CC,O
with,IN,O
and,CC,O
prepared,VBD,O
to,TO,O
listen,VB,O
deeply,RB,O
",",",",O
take,VB,O
notes,NNS,O
",",",",O
and,CC,O
provide,VB,O
thoughtful,JJ,O
feedback,NN,O
.,.,O
We,PRP,O
'll,MD,O
then,RB,O
spend,VB,O
some,DT,O
time,NN,O
thinking,VBG,O
about,IN,O
or,CC,O
theme,NN,O
of,IN,O
Society,NNP,O
for,IN,O
this,DT,O
semester,NN,O
.,.,O
Joby,NNP,B-PAR
will,MD,O
walk,VB,O
us,PRP,O
through,IN,O
some,DT,O
of,IN,O
the,DT,O
themes,NNS,O
and,CC,O
ideas,NNS,O
that,WDT,O
feed,VBP,O
that,DT,O
theme,NN,O
as,IN,O
a,DT,O
way,NN,O
to,TO,O
prime,VB,O
the,DT,O
pump,NN,O
for,IN,O
the,DT,O
great,JJ,O
conversations,NNS,O
we,PRP,O
'll,MD,O
have,VB,O
together,RB,O
this,DT,O
semester,NN,O
!,.,O
Joby,NNP,B-PAR
and,CC,O
I,PRP,B-PAR
will,MD,O
bring,VB,O
some,DT,O
yummy,NN,O
(,(,O
valentines,NNS,O
themed,VBN,O
!,.,O
?,.,O
),),O
snacks,VBZ,O
;,:,O
we,PRP,O
look,VBP,O
forward,RB,O
to,TO,O
seeing,VBG,O
all,DT,O
of,IN,O
you,PRP,O
!,.,O
Best,JJS,O
",",",",O
Charlotte,NNP,B-PAR
Keniston,NNP,I-PAR
