The,DT,O
Washington,NNP,B_new_team_city
Nationals,NNP,B_new_team
agreed,VBD,O
to,TO,O
terms,NNS,O
on,IN,O
a,DT,O
two-year,JJ,O
contract,NN,O
with,IN,O
right-handed,JJ,O
pitcher,NN,B_player_position
Daniel,NNP,B_player_name
Hudson,NNP,B_player_name
on,IN,O
Tuesday,NNP,O
.,.,O
Nationals,NNP,B_new_team
President,NNP,O
of,IN,O
Baseball,NNP,O
Operations,NNP,O
and,CC,O
General,NNP,O
Manager,NNP,O
Mike,NNP,O
Rizzo,NNP,O
made,VBD,O
the,DT,O
announcement,NN,O
.,.,O
Hudson,NNP,B_player_name
",",",",O
32,CD,B_player_age
",",",",O
returns,NNS,O
to,TO,O
Washington,NNP,B_new_team_city
after,IN,O
going,VBG,O
3-0,JJ,O
with,IN,O
six,CD,O
saves,NNS,O
and,CC,O
a,DT,O
1.44,CD,O
ERA,NN,O
in,IN,O
24,CD,O
games,NNS,O
for,IN,O
the,DT,O
Nationals,NNS,B_new_team
in,IN,O
2019,CD,O
.,.,O
He,PRP,O
recorded,VBD,O
the,DT,O
final,JJ,O
out,NN,O
of,IN,O
Washington,NNP,B_new_team_city
's,POS,O
World,NNP,O
Series,NNP,O
Championship,NNP,O
run,VB,O
",",",",O
striking,VBG,O
out,RP,O
Houston,NNP,O
's,POS,O
Michael,NNP,O
Brantley,NNP,O
to,TO,O
cap,VB,O
the,DT,O
6-2,JJ,O
victory,NN,O
.,.,O
